s i ²	s r ɯ ²
tʰ u ⁵	tʰ r u ³
t w e n ²	t w e n ²
tsʰ j æ n ¹	tsʰ j æ n ¹
k ɯ ¹	k ɯ ¹
ts w ɛ ⁴	ts w ɛ ⁴
n e ²	n j i ⁴
dʑ i ³	d i ³
pʰ æ n ³	pʰ æ n ³
s u ŋ ³	s u ŋ ³
n o ŋ ⁵	n o ŋ ⁵
p j a ⁴	p r a ⁴
dʑ æ n ³	dʑ æ n ³
χ ɯ ⁴	χ ɯ ⁴
sʰ r ɯ ²	sʰ r ɯ ²
n ɔ n ³	n ɔ ³
s r r o ⁵	s r o ⁴
j ɯ ¹	j ɯ ¹
p r e n ¹	p r e n ¹
p r ɛ ²	p ɛ ²
x w i ²	x w i ²
ŋ j u ŋ ⁴	ŋ j o ŋ ⁴
ŋ o ŋ ²	ŋ u ²
l ɔ ¹	l ɔ ¹
p j æ ⁴	p r æ ⁴
ts r o ²	ts r ɔ ²
qʰ ʔ u ¹	qʰ u ²
ŋ w a ⁴	ŋ w a ⁴
tɕ ɯ ²	tɕ ɯ ²
k o ⁵	k o ⁵
m æ ¹	m æ ¹
ʁ ɯ ⁴	ʁ ɯ ⁴
m ɛ ¹	m ɛ ¹
sʰ w a ŋ ³	sʰ w a ŋ ³
tsʰ o ŋ ŋ ¹	tsʰ u ŋ ¹
n ɛ ⁴	n ɛ ¹
m ɯ ²	m ɯ ²
q o ŋ ŋ ⁴	q ɔ ⁴
dʑ i n ²	dʑ i ²
m ɛ ¹	m ɛ ¹
s r i ⁴	s r i ⁴
tsʰ ɯ ³	tsʰ ɯ ³
l ɔ ¹	l a ¹
p ɯ ¹	p u ²
b j o ⁴	b j o ⁴
k æ ⁴	k æ ⁴
p ɔ ¹	p j o ²
