d e ¹	tʃʰ i̠ ³
ts o̠ ³	ts o̠ ¹
tsʰ i̠ ¹	tʃʰ e ¹
kʰ ɛ ³	kʰ ɛ ²
s u ¹	ʒ a ¹
g i ²	g i ²
n ɛ̠ ³	n ɛ ³
m ɛ ²	m e ²
kʰ u ²	kʰ ɨ ²
x i̠ ³	x ɨ̠ ³
b u ³	b a ŋ ³
b e̠ ¹	b e̠ ¹
l a ²	l a ²
k a ³	k a ¹
t a ³	d a ²
kʰ ɛ ²	kʰ j ɛ ²
ŋ a ¹	ŋ a ¹
dz a ²	dz a ²
dʒ o̠ ³	dʒ o̠ ³
ʃ u ³	ʃ a̠ ³
tsʰ y ¹	tsʰ y ¹
tʰ u ²	tʰ u ²
ˀn y̠ ³	ˀn y̠ ³
b a ³	b a ³
tʰ y ¹	tʰ y ¹
n u ²	n u ²
n a ŋ ¹	n a ¹
ˀl e̠ ³	l e̠ ³
dz y ²	dz y ²
p i ¹	p e ¹
kʰ a̠ ¹	kʰ a̠ ¹
n i ³	ˀn i ³
ˀm a ²	ˀm a ²
b o̠ ¹	b o̠ ¹
t o̠ ³	t o̠ ³
ts i ¹	tʃ e ¹
l u ²	l u ²
z y ²	z y ²
k j u ¹	k u ¹
dʒ ɛ ²	dʒ ɛ ²
g j a ²	g j a ²
kʰ o̠ ³	kʰ o̠ ³
m a ²	m ɛ ²
m y̠ ³	m ɨ ²
k j e̠ ³	tʃ e̠ ³
pʰ e ²	pʰ e ²
m a ²	m a ²
l a ³	l a ³
i ²	i ²
kʰ ɨ ³	kʰ ɨ ³
b e̠ ³	b e̠ ³
x i ³	x ɨ̠ ³
m y ²	m u ²
b a ²	b a ²
g u ²	g j u ²
f u ³	f u ³
b e̠ ¹	b e̠ ¹
m ɛ ²	m ɛ ²
ʃ a ¹	ʃ a ¹
kʰ i ¹	kʰ i ¹
ˀl o̠ ³	ˀl o̠ ¹
dʒ a ŋ ¹	dʒ a ŋ ¹
ʒ u ¹	ʒ a ŋ ¹
z a ²	z a ²
n y ¹	n y ¹
a ¹	a ¹
d y ²	d y ²
n a ¹	n a ¹
ˀn a ²	ˀn a ²
m̩ ²	m u ²
k a ³	k u ³
p y ¹	p y ¹
p a ³	p a̠ ³
g a ³	g a ³
ˀm u̠ ³	ˀm j e̠ ¹
dʒ i ³	dʒ i ³
j a ²	j a ŋ ²
ˀl e ²	l i ²
dʒ a ²	dʒ ɛ ²
dz i ³	dz i ²
ʒ a ³	x i ¹
kʰ a ²	kʰ a ŋ ²
s ɛ ²	s ɛ ²
x i̠ ¹	dz i ¹
dz i ³	dz i ³
tʃʰ i ¹	tʃʰ e ¹
x a ²	x a ²
ˀm o ¹	ˀm i ¹
pʰ i ²	pʰ i ²
g a ¹	g a ¹
ˀm a ³	ˀm a ³
tʃʰ i ¹	tʃʰ e̠ ¹
g a ²	g a ²
g o ¹	g u ¹
a ¹	a ¹
v e̠ ³	v e̠ ³
m j j a ²	m j a ²
v e ²	v i ²
ʃ a ³	ʃ a̠ ³
pʰ i̠ ²	pʰ e ¹
n e ²	n i ¹
tsʰ ɛ̠ ²	tsʰ ɛ ²
ʃ ɛ ¹	ʃ ɛ ¹
dz e ¹	dz e ¹
n a̠ ³	ɲ a̠ ³
m̩ ²	m̩ ²
dz ɿ ³	dz ɿ ³
ʃ o̠ ³	ʃ o̠ ¹
ˀn i ¹	ˀn i ¹
ˀm o̠ ²	m o̠ ³
s ɛ ²	s ɛ ²
t o̠ ²	t ɛ ¹
l y ²	l y ²
a ¹	a ¹
h e ¹	h e ¹
ˀv a ¹	ˀv a ¹
h e ¹	h e ¹
m a ²	m a ²
d e̠ ¹	d e̠ ¹
m̩ ²	m u ²
tʰ a ²	tʰ a ²
dz e ¹	dz e ¹
tʰ a ²	tʰ a ²
pʰ y ²	pʰ y ²
