j ɔ ʔ̚ ⁵¹	ɲ̊ ɔ ʔ̚ ⁵¹
p r ⁰ ⁵⁵	t r e ⁵⁵
p au ⁵⁵	j ə ⁰
ʔ ɔ ¹¹	ʔ ɔ ¹¹
tʰ u ⁵⁵	tʰ u ⁵⁵
ʔ ə ŋ ⁵⁵	ʔ ə ŋ ⁵⁵
b l e ⁵⁵	b l e ⁵⁵
l a m ⁵⁵	l a m ⁵⁵
j o ⁵⁵	j o ⁵⁵
r̥ e ¹¹	r e ¹¹
p ə ¹¹	p ə ¹¹
r ou ¹¹	r ou ¹¹
ʔ a ɴ ⁵⁵	ʔ a ɴ ⁵⁵
k w a ɴ ¹¹	g l a m ¹¹
kʰ a ŋ ⁵⁵	kʰ a ŋ ⁵⁵
k ə ⁰	k ə ⁰
pʰ a ¹¹	pʰ a ¹¹
s ə ⁰	s ə ⁰
t a ʔ̚ ⁵¹	t a ʔ̚ ⁵¹
s r e ⁵¹	s r e ³³
m ə ¹¹	m ə ¹¹
n w i t ⁵⁵	ˀn w e t̚ ⁵¹
ʔ o ¹¹	ʔ o ¹¹
pʰ a ⁵⁵	pʰ a ⁵⁵
kʰ l ei ¹¹	kʰ l ei ¹¹
kʰ a ɴ ⁵⁵	kʰ a ɴ ⁵⁵
b o ¹¹	b o ¹¹
k o ¹¹	g o ¹¹
s r ei ¹¹	s r ei ¹¹
l o ŋ ¹¹	l̥ o ŋ ¹¹
p ə ʔ̚ ⁵¹	p ə ʔ̚ ⁰
kʰ w i ⁵⁵	kʰ w i ⁵⁵
k w ⁵⁵ n ⁵⁵	ʔ w a ɴ ⁵⁵
l̥ i ⁵⁵	l ei ⁵⁵
tʰ w ɛ ⁵⁵	tʰ w ɛ ⁵⁵
d a ʔ̚ ⁵¹	d a ʔ̚ ⁵¹
