ʃ i ¹	ˀx y ¹
tʃ a ¹	tʃ a ¹
n i ²	n i ²
m o̠ ³	m o̠ ¹
l o̠ ¹	l u̠ ¹
dz i ²	dʒ i ²
h e̠ ³	h e̠ ³
a ²	a ¹
tʃʰ o̠ ¹	tʃʰ o̠ ¹
ʃ ɛ ¹	ʃ ɛ ¹
tsʰ e ¹	tsʰ e ¹
tsʰ e ¹	tsʰ e ¹
d ɛ ²	d ɛ ²
x e ¹	x e ¹
s e̠ ³	s e̠ ³
ɣ o ²	e ²
b ɛ ¹	b ɛ ¹
ʃ ɨ̠ ²	ʃ ɨ̠ ³
kʰ y ²	kʰ y ²
m i̠ ¹	m i̠ ¹
d u ¹	d u ¹
b a ³	b a ³
ts e ²	ts e ²
n a ²	n a ²
a ¹	a ¹
g o ¹	g u ¹
n a ŋ ²	tʰ a ŋ ²
p a̠ ³	p a̠ ³
l a ŋ ¹	l a ŋ ¹
n y ¹	n y ¹
tʰ u ²	tʰ u ²
kʰ o̠ ³	kʰ o̠ ³
ˀm e ³	ˀm i ³
n̩ ²	n i ²
m i ¹	m i ¹
tʃ a̠ ³	tʃ a̠ ³
pʰ y̠ ²	pʰ y ²
b e ²	v y ²
e ²	e ²
l a ŋ ¹	l a ŋ ¹
tʃʰ i̠ ³	tsʰ i̠ ³
ɣ o ³	ɣ y̠ ³
l a ²	l a ²
tsʰ a ¹	tsʰ a ¹
pʰ e ²	pʰ e ²
ts o ²	ts e ²
ˀx ɛ ²	x ɛ ²
f u ³	f u ³
ts i ³	ts i ³
t i ²	t i ²
s i ²	s e ²
l y ¹	l y ¹
ˀn ɛ ¹	n ɛ̠
m a ²	m a ²
l y ²	l y ²
b y ³	b y ³
m j a ŋ ¹	m j a ŋ ¹
m a ³	m a ³³
p a̠ ³	p a̠ ³
pʰ a ¹	pʰ j a ¹
k o̠ ²	k u ²
m y ¹	ˀm j y̠ ¹
t a ⁵⁵	t a ⁵⁵
tʃʰ ɨ ¹	tʃʰ ɨ ¹
n i ¹	n i ¹
s i ¹	s e ¹
g a ²	g a ²
p ɨ ²	p j ɨ ²
a ²	a ²
ʃ ɛ ¹	ʃ ɛ ¹
s ɛ ²	s ɛ ²
d u ¹	d u ¹
v i̠ ³	v i̠ ³
n a ŋ ¹	ɲ a ¹
m i ¹	ˀm i ¹
ˀm j e̠ ³	ˀm j e̠ ¹
g i ²	g i ²
ʃ i̠ ³	ʃ i̠ ¹
p y̠ ¹	p y̠ ¹
s a ²	z a ²
tsʰ a ŋ ¹	tsʰ a ŋ ¹
m ɛ ²	m e ²
s u ²	ʃ y ¹
a ¹	a ¹
m e ¹	m i ¹
l e̠ ³	l e̠ ³
ˀm e̠ ³	ˀm e̠ ¹
x a̠ ³	x a̠ ³
z a ²	z a ²
g j ɛ ²	g j ɛ ²
l e̠ ³	l e̠ ³
ˀv a ¹	ˀv a ¹
m e ¹	m e ¹
tsʰ e ¹	tsʰ e ¹
h e̠ ³	h e̠ ³
ʒ i ³	ʒ e ³
s y ²	s y ²
g j a̠ ¹	g ɛ̠ ¹
l a ²	l a ²
z i̠ ²	z i̠ ³
p e ¹	p e ¹
l a ŋ ²	l a ŋ ²
ˀm j i ¹	ˀm i ¹
l e̠ ³	l e̠ ³
ʃ a ¹	ʃ a ¹
g o̠ ³	g j o̠ ¹
ɣ i ¹	ɣ ɨ ¹
ɲ j a ²	ɲ a ²
dz u ²	v y ²
b j y ¹	b j y ¹
s i̠ ¹	s i ²
ɣ i ¹	ɣ i ¹
l ɛ ¹	l ɛ ¹
v e̠ ³	v e̠ ³
ɣ ɨ ³	ɣ ɨ ³
ts e ¹	ts e ¹
m a ³	m a ³
ˀn y̠ ³	ˀn y̠ ³
pʰ o ²	pʰ y ²
kʰ i ²	kʰ i ²
kʰ j i̠ ²	kʰ j i ²
s a̠ ³	ʃ a̠ ³
l u ¹	l u ¹
d u ²	d u ²
